id_kabkota,kab_kota,prov,total_prod,loss_multi_nonclimate_rp25,loss_multi_nonclimate_rp50,loss_multi_nonclimate_rp100,loss_multi_nonclimate_rp250,loss_multi_climate_rp25,loss_multi_climate_rp50,loss_multi_climate_rp100,loss_multi_climate_rp250,aal_nonclimate_v2,aal_climate_v2
3371,Magelang,Jawa Tengah,725.68,,,,,,,,,,
3372,Surakarta,Jawa Tengah,135.08,,,,,,,,,,
3373,Salatiga,Jawa Tengah,3382.08,,,,,,,,,,
3374,Semarang,Jawa Tengah,15201.27,,,,,,,,,,
3375,Pekalongan,Jawa Tengah,7052.69,,,,,,,,,,
3376,Tegal,Jawa Tengah,3215.28,,,,,,,,,,
3401,Kulon Progo,DI Yogyakarta,116055.76,,,,,,,,,,
3402,Bantul,DI Yogyakarta,130339.44,500606550403.85657,542324329649.5113,554807104571.71,572333703611.8938,555745003628.4364,568996105888.1147,580481831348.655,598338214176.1866,21585723210.638172,22924613774.62863
3403,Gunungkidul,DI Yogyakarta,198309.83,,,,,,,,,,
3404,Sleman,DI Yogyakarta,116951.41,453277718289.1208,495905867980.863,495082189773.9161,494478411374.6151,504527380038.9284,502967648963.7448,501812405606.60803,501669226585.3168,19393371600.417786,20115972365.795536
3471,Yogyakarta,DI Yogyakarta,43.09,,,,,,,,,,
3501,Pacitan,Jawa Timur,90428.21,,,,,,,,,,
3502,Ponorogo,Jawa Timur,359413.8,1548577539783.2646,1640850297484.3904,1660390334851.9739,1684545851179.9937,1662324504552.284,1683744512570.0537,1699715793632.8887,1728414075162.3987,65173473497.174255,67576037609.27355
3503,Trenggalek,Jawa Timur,115758.0,544462168699.4735,563479239036.0386,568914132449.619,575536163288.7408,573826722254.4242,578896344927.4304,582644172695.5701,589208291140.2468,22476876475.153454,23207323816.001984
3504,Tulungagung,Jawa Timur,207217.3,,,,,,,,,,
3505,Blitar,Jawa Timur,215482.8,1105967459620.1628,1154193216904.4448,1175358209252.7595,1199774095652.1912,1172431153763.275,1192620424191.4385,1207048848106.0,1233636140010.2092,46173857193.35571,47905461665.42379
3506,Kediri,Jawa Timur,168853.6,625010880496.8251,689390577470.6992,692791099249.8951,698159058567.3342,697372839777.7699,700737968644.2048,704378517643.2579,710683340074.4257,27020409670.99924,28094609449.10781
3507,Malang,Jawa Timur,271606.8,1419036416610.0667,1472289181250.2751,1470662415667.7834,1470915723692.4268,1486259234814.3237,1482444277701.2559,1480188244414.2644,1479494007572.9417,58336411276.044044,59297220521.986786
3508,Lumajang,Jawa Timur,300829.0,1208447500737.3518,1297553276470.909,1303457904823.6685,1312945586363.2632,1321456238259.8945,1326082255494.086,1329767672381.971,1338948595726.6836,51166056497.569336,53116577764.15279
