id_kabkota,kab_kota,id_prov,prov,tahun,total_prod
7314,Sidenreng Rappang,73,Sulawesi Selatan,2022,535315.55
7315,Pinrang,73,Sulawesi Selatan,2022,548084.63
7316,Enrekang,73,Sulawesi Selatan,2022,40316.69
7317,Luwu,73,Sulawesi Selatan,2022,277364.84
7318,Tana Toraja,73,Sulawesi Selatan,2022,82973.84
7322,Luwu Utara,73,Sulawesi Selatan,2022,208866.69
7324,Luwu Timur,73,Sulawesi Selatan,2022,219608.6
7326,Toraja Utara,73,Sulawesi Selatan,2022,101859.8
7371,Makassar,73,Sulawesi Selatan,2022,12788.19
7372,Pare Pare,73,Sulawesi Selatan,2022,4649.39
7373,Palopo,73,Sulawesi Selatan,2022,16806.41
7401,Kolaka,74,Sulawesi Tenggara,2022,51063.36
7402,Konawe,74,Sulawesi Tenggara,2022,132209.2
7403,Muna,74,Sulawesi Tenggara,2022,1769.58
7404,Buton,74,Sulawesi Tenggara,2022,5852.1
7405,Konawe Selatan,74,Sulawesi Tenggara,2022,88805.39
7406,Bombana,74,Sulawesi Tenggara,2022,76588.65
7407,Wakatobi,74,Sulawesi Tenggara,2022,0
7408,Kolaka Utara,74,Sulawesi Tenggara,2022,5125.64
7409,Konawe Utara,74,Sulawesi Tenggara,2022,8952.07
7410,Buton Utara,74,Sulawesi Tenggara,2022,2862.39
7411,Kolaka Timur,74,Sulawesi Tenggara,2022,88994.39
7412,Konawe Kepulauan,74,Sulawesi Tenggara,2022,492.54
7413,Muna Barat,74,Sulawesi Tenggara,2022,5387.73
7414,Buton Tengah,74,Sulawesi Tenggara,2022,25.29
7415,Buton Selatan,74,Sulawesi Tenggara,2022,0
7471,Kendari,74,Sulawesi Tenggara,2022,2329.73
7472,Bau Bau,74,Sulawesi Tenggara,2022,8499.94
7501,Gorontalo,75,Gorontalo,2022,128971.46
7502,Boalemo,75,Gorontalo,2022,29663.64
7503,Bone Bolango,75,Gorontalo,2022,17790.18
7504,Pahuwato,75,Gorontalo,2022,27409.27
7505,Gorontalo Utara,75,Gorontalo,2022,26667.8
7571,Gorontalo,75,Gorontalo,2022,9632.18
7601,Pasangkayu (Mamuju Utara),76,Sulawesi Barat,2022,2925.23
7602,Mamuju,76,Sulawesi Barat,2022,70325.79
7603,Mamasa,76,Sulawesi Barat,2022,48965.06
7604,Polewali Mandar,76,Sulawesi Barat,2022,199665.24
7605,Majene,76,Sulawesi Barat,2022,5643.12
7606,Mamuju Tengah,76,Sulawesi Barat,2022,25988.85
8101,Maluku Tengah,81,Maluku,2022,33435.21
8102,Maluku Tenggara,81,Maluku,2022,0
8103,Kepulauan Tanimbar (Maluku Tenggara Barat),81,Maluku,2022,293.5
8104,Buru,81,Maluku,2022,45450.84
8105,Seram Bagian Timur,81,Maluku,2022,10085.35
8106,Seram Bagian Barat,81,Maluku,2022,3335.63
8107,Kepulauan Aru,81,Maluku,2022,0
8108,Maluku Barat Daya,81,Maluku,2022,0
8109,Buru Selatan,81,Maluku,2022,0
8171,Ambon,81,Maluku,2022,0
8172,Tual,81,Maluku,2022,0.53
8201,Halmahera Barat,82,Maluku Utara,2022,226.18
8202,Halmahera Tengah,82,Maluku Utara,2022,103.47
8203,Halmahera Utara,82,Maluku Utara,2022,6893.28
8204,Halmahera Selatan,82,Maluku Utara,2022,121.88
8205,Kepulauan Sula,82,Maluku Utara,2022,16.63
8206,Halmahera Timur,82,Maluku Utara,2022,15285.65
8207,Pulau Morotai,82,Maluku Utara,2022,1838.94
8208,Pulau Taliabu,82,Maluku Utara,2022,0
8271,Ternate,82,Maluku Utara,2022,0
8272,Tidore Kepulauan,82,Maluku Utara,2022,0
9103,Jayapura,91,Papua,2022,1395.07
9105,Kepulauan Yapen,91,Papua,2022,0
9106,Biak Numfor,91,Papua,2022,0
9110,Sarmi,91,Papua,2022,57.72
9111,Keerom,91,Papua,2022,124.8
9115,Waropen,91,Papua,2022,37.7
9119,Supiori,91,Papua,2022,0
9120,Mamberamo Raya,91,Papua,2022,0
9171,Jayapura,91,Papua,2022,1260.48
9202,Manokwari,92,Papua Barat,2022,15545.55
9203,Fak Fak,92,Papua Barat,2022,48.97
9206,Teluk Bintuni,92,Papua Barat,2022,422.2
9207,Teluk Wondama,92,Papua Barat,2022,0
9208,Kaimana,92,Papua Barat,2022,0
9211,Manokwari Selatan,92,Papua Barat,2022,4928
9212,Pegunungan Arfak,92,Papua Barat,2022,0
9301,Merauke,93,Papua Selatan,2022,0
9302,Boven Digoel,93,Papua Selatan,2022,0
9303,Mappi,93,Papua Selatan,2022,0
9304,Asmat,93,Papua Selatan,2022,0
9401,Nabire,94,Papua Tengah,2022,0
9402,Puncak Jaya,94,Papua Tengah,2022,0
9403,Paniai,94,Papua Tengah,2022,0
9404,Mimika,94,Papua Tengah,2022,0
9405,Puncak,94,Papua Tengah,2022,0
9406,Dogiyai,94,Papua Tengah,2022,0
9407,Intan Jaya,94,Papua Tengah,2022,0
9408,Deiyai,94,Papua Tengah,2022,0
9501,Jayawijaya,95,Papua Pegunungan,2022,0
9502,Pegunungan Bintang,95,Papua Pegunungan,2022,0
